solute	핵심 뜻: 용질
dissolution	핵심 뜻: 용해
solubility	"핵심 뜻: 용해도
구분: solubility=용해도 / dissolve=녹다"
polymer	핵심 뜻: 고분자
volatile	핵심 뜻: 휘발성의
unfavorable	"핵심 뜻: 불리한
구분: unfavorable=좋은 결과에 불리한 / adverse=부정적 영향을 주는"
favorable	"핵심 뜻: 유리한 / 긍정적인
구분: favorable=조건이 결과에 유리함 / beneficial=실질적 도움을 줌"
neutralize	핵심 뜻: 중화하다
degrade	"핵심 뜻: 저하되다
구분: degrade=질이 떨어지다 / deteriorate=점점 나빠지다"
reduction	핵심 뜻: 환원
residue	핵심 뜻: 잔류물
particulate	핵심 뜻: 입자상의 물질
aerosol	핵심 뜻: 에어로졸 / 공기 중 미세입자
blueprint	"핵심 뜻: 청사진
구분: blueprint=구조와 단계가 담긴 설계안 / outline=개요"
saturate	핵심 뜻: 포화시키다
dilute	핵심 뜻: 희석하다
emission	핵심 뜻: 배출 / 방출
absorb	핵심 뜻: 흡수하다
briefing	"핵심 뜻: 요약 보고
구분: briefing=짧은 핵심 보고 / presentation=발표"
checkpoint	"핵심 뜻: 점검 지점
구분: checkpoint=중간 점검 지점 / milestone=주요 성취 단계"
coursework	핵심 뜻: 수업 과제
unstable	"핵심 뜻: 불안정한
구분: unstable=상태가 불안정한 / volatile=급변하기 쉬운"
corrosion	핵심 뜻: 부식
stability	핵심 뜻: 안정성
adjustable	"핵심 뜻: 조정 가능한
구분: adjustable=조건이나 수준을 바꿀 수 있는 / flexible=상황에 맞게 조정 가능한"
abate	"핵심 뜻: 약해지다
구분: abate=강도 완화 / reduce=양을 줄임"
abstain	"핵심 뜻: 삼가다 / 기권하다
구분: abstain=의식적으로 삼가거나 기권하다 / refrain=행동을 참다"
acclaim	"핵심 뜻: 찬사 / 호평
구분: acclaim=널리 받는 찬사 / praise=칭찬"
accrue	"핵심 뜻: 누적되다 / 쌓이다
구분: accrue=시간 따라 누적되다 / accumulate=모아 쌓다"
acquiesce	"핵심 뜻: 묵인하다
구분: acquiesce=수동적 동의 / consent=명시적 동의"
admissible	"핵심 뜻: 받아들일 수 있는
구분: admissible=공식 기준상 허용 / acceptable=받아들일 만함"
adversarial	핵심 뜻: 대립적인
affluent	"핵심 뜻: 부유한
구분: affluent=재정적으로 풍족 / wealthy=부자인"
amenable	핵심 뜻: 순응하는 / 수용적인
analog	핵심 뜻: 대응물 / 유사한 것
appraisal	핵심 뜻: 평가 / 감정
attest	"핵심 뜻: 입증하다
구분: attest=사실을 증명 / verify=확인해 검증"
augment	핵심 뜻: 늘리다 / 보강하다
candid	"핵심 뜻: 솔직한
구분: candid=숨김없는 솔직함 / frank=직설적 솔직함"
concur	"핵심 뜻: 동의하다
구분: concur=의견 일치 / agree=동의하다"
contemplation	핵심 뜻: 숙고 / 깊은 생각
conviction	핵심 뜻: 확신 / 신념
cornerstone	"핵심 뜻: 초석
구분: cornerstone=핵심 토대 / foundation=기초"
credibility	"핵심 뜻: 신뢰성
구분: credibility=믿을 만함 / reliability=일관된 신뢰성"
culminate	"핵심 뜻: 절정에 이르다
구분: culminate=최종 정점에 이름 / conclude=끝맺다"
curtail	핵심 뜻: 줄이다 / 제한하다
depict	핵심 뜻: 묘사하다 / 그려내다
deviation	핵심 뜻: 편차 / 일탈
dilemma	핵심 뜻: 딜레마 / 진퇴양난
discern	핵심 뜻: 분별하다 / 알아차리다
disclose	핵심 뜻: 공개하다 / 드러내다
discretion	핵심 뜻: 재량 / 신중함
distill	"핵심 뜻: 정제하다
구분: distill=핵심을 정제·추출 / extract=뽑아내다"
divert	핵심 뜻: 다른 데로 돌리다 / 전환하다
doctrine	핵심 뜻: 교리 / 원칙
endorsement	핵심 뜻: 지지 / 승인
escalation	"핵심 뜻: 확대
구분: escalation=점점 커지는 고조 / intensification=강도 증가"
exhaustive	"핵심 뜻: 철저한
구분: exhaustive=빠짐없이 철저 / comprehensive=폭넓게 포괄"
goodwill	"핵심 뜻: 호의
구분: goodwill=우호적 호의 / favor=호의"
heterogeneous	"핵심 뜻: 이질적인
구분: heterogeneous=이질적 혼합 / diverse=다양함"
impartial	"핵심 뜻: 공정한
구분: impartial=편향 없는 공정함 / neutral=중립적"
impetus	핵심 뜻: 추진력 / 계기
inception	"핵심 뜻: 시작
구분: inception=초기 시작점 / outset=처음부터"
incremental	"핵심 뜻: 점진적인
구분: incremental=단계적 증가 / gradual=서서히"
indispensable	"핵심 뜻: 꼭 필요한
구분: indispensable=없으면 안 됨 / essential=본질적으로 필수"
insulate	핵심 뜻: 차단하다 / 격리하다
intangible	"핵심 뜻: 무형의
구분: intangible=무형의 / abstract=추상적"
inventory	핵심 뜻: 재고 / 목록
jeopardize	"핵심 뜻: 위태롭게 하다
구분: jeopardize=위험에 빠뜨림 / endanger=위험하게 함"
judicious	"핵심 뜻: 신중하고 현명한
구분: judicious=분별 있게 신중 / prudent=조심스럽게 현명"
meticulous	핵심 뜻: 꼼꼼한 / 세심한
nominal	핵심 뜻: 명목상의 / 이름뿐인
novelty	핵심 뜻: 새로움 / 참신함
obscure	"핵심 뜻: 불분명한
구분: obscure=불분명하게 가림 / vague=뜻이 흐림"
paramount	핵심 뜻: 가장 중요한 / 최우선의
permeate	핵심 뜻: 스며들다 / 퍼지다
pertinent	핵심 뜻: 관련 있는 / 적절한
procure	핵심 뜻: 조달하다 / 확보하다
rectify	"핵심 뜻: 바로잡다 / 수정하다
구분: rectify=잘못을 바로잡음 / correct=수정하다"
